Time	 FairTen1	 FairTen2	 FairTen3	 L1N20pX	 L2N20pX	 L3N20pX	 L1N20FX	 L2N20FX	 L3N20FX	 
(s)	 (N)       	 (N)       	 (N)       	 (m)       	 (m)       	 (m)       	 (N)       	 (N)       	 (N)       	 
0	 656413	 1.04737e+06	 1.04737e+06	 15.2	 7.4	 7.4	 492053	 -445542	 -445542	 
0.01	 656003	 1.04712e+06	 1.04712e+06	 15.2	 7.4	 7.4	 491737	 -445432	 -445432	 
0.02	 655997	 1.04687e+06	 1.04687e+06	 15.2	 7.4	 7.4	 491727	 -445323	 -445323	 
0.03	 656428	 1.04663e+06	 1.04663e+06	 15.2	 7.39999	 7.39999	 492050	 -445222	 -445222	 
0.04	 657272	 1.04645e+06	 1.04645e+06	 15.2	 7.39998	 7.39998	 492687	 -445144	 -445144	 
0.05	 658558	 1.04633e+06	 1.04633e+06	 15.2	 7.39997	 7.39997	 493660	 -445090	 -445090	 
0.06	 660310	 1.04626e+06	 1.04626e+06	 15.2	 7.39995	 7.39995	 494989	 -445057	 -445057	 
0.07	 662498	 1.04625e+06	 1.04625e+06	 15.1999	 7.39993	 7.39993	 496648	 -445050	 -445050	 
0.08	 665053	 1.04631e+06	 1.04631e+06	 15.1999	 7.39991	 7.39991	 498587	 -445076	 -445076	 
0.09	 667907	 1.04646e+06	 1.04646e+06	 15.1999	 7.39989	 7.39989	 500754	 -445137	 -445137	 
0.1	 670996	 1.04669e+06	 1.04669e+06	 15.1999	 7.39987	 7.39987	 503099	 -445233	 -445233	 
0.11	 674235	 1.04699e+06	 1.04699e+06	 15.1998	 7.39984	 7.39984	 505558	 -445361	 -445361	 
0.12	 677529	 1.04737e+06	 1.04737e+06	 15.1998	 7.39981	 7.39981	 508059	 -445521	 -445521	 
0.13	 680789	 1.04781e+06	 1.04781e+06	 15.1998	 7.39978	 7.39978	 510533	 -445709	 -445709	 
0.14	 683940	 1.0483e+06	 1.0483e+06	 15.1997	 7.39975	 7.39975	 512925	 -445918	 -445918	 
0.15	 686915	 1.04883e+06	 1.04883e+06	 15.1997	 7.39971	 7.39971	 515183	 -446140	 -446140	 
0.16	 689651	 1.04936e+06	 1.04936e+06	 15.1997	 7.39967	 7.39967	 517258	 -446368	 -446368	 
0.17	 692098	 1.04989e+06	 1.04989e+06	 15.1996	 7.39963	 7.39963	 519113	 -446593	 -446593	 
0.18	 694222	 1.0504e+06	 1.0504e+06	 15.1996	 7.39959	 7.39959	 520722	 -446806	 -446806	 
0.19	 695999	 1.05086e+06	 1.05086e+06	 15.1995	 7.39955	 7.39955	 522066	 -447002	 -447002	 
0.2	 697412	 1.05126e+06	 1.05126e+06	 15.1995	 7.3995	 7.3995	 523134	 -447172	 -447172	 
0.21	 698457	 1.0516e+06	 1.0516e+06	 15.1994	 7.39945	 7.39945	 523922	 -447314	 -447314	 
0.22	 699137	 1.05187e+06	 1.05187e+06	 15.1994	 7.3994	 7.3994	 524431	 -447424	 -447424	 
0.23	 699464	 1.05206e+06	 1.05206e+06	 15.1993	 7.39934	 7.39934	 524672	 -447503	 -447503	 
0.24	 699455	 1.05217e+06	 1.05217e+06	 15.1993	 7.39929	 7.39929	 524657	 -447550	 -447550	 
0.25	 699134	 1.05223e+06	 1.05223e+06	 15.1992	 7.39923	 7.39923	 524404	 -447570	 -447570	 
0.26	 698530	 1.05222e+06	 1.05222e+06	 15.1992	 7.39917	 7.39917	 523937	 -447565	 -447565	 
0.27	 697679	 1.05218e+06	 1.05218e+06	 15.1991	 7.39911	 7.39911	 523281	 -447541	 -447541	 
0.28	 696619	 1.05209e+06	 1.05209e+06	 15.199	 7.39904	 7.39904	 522466	 -447503	 -447503	 
0.29	 695391	 1.052e+06	 1.052e+06	 15.199	 7.39897	 7.39897	 521524	 -447457	 -447457	 
0.3	 694038	 1.05189e+06	 1.05189e+06	 15.1989	 7.3989	 7.3989	 520487	 -447409	 -447409	 
0.31	 692606	 1.05179e+06	 1.05179e+06	 15.1988	 7.39883	 7.39883	 519389	 -447364	 -447364	 
0.32	 691138	 1.05171e+06	 1.05171e+06	 15.1988	 7.39876	 7.39876	 518264	 -447326	 -447326	 
0.33	 689678	 1.05166e+06	 1.05166e+06	 15.1987	 7.39868	 7.39868	 517145	 -447299	 -447299	 
0.34	 688266	 1.05164e+06	 1.05164e+06	 15.1986	 7.3986	 7.3986	 516063	 -447286	 -447286	 
0.35	 686939	 1.05166e+06	 1.05166e+06	 15.1985	 7.39852	 7.39852	 515045	 -447291	 -447291	 
0.36	 685729	 1.05172e+06	 1.05172e+06	 15.1984	 7.39844	 7.39844	 514117	 -447314	 -447314	 
0.37	 684666	 1.05182e+06	 1.05182e+06	 15.1984	 7.39835	 7.39835	 513301	 -447355	 -447355	 
0.38	 683770	 1.05198e+06	 1.05198e+06	 15.1983	 7.39826	 7.39826	 512611	 -447416	 -447416	 
0.39	 683058	 1.05217e+06	 1.05217e+06	 15.1982	 7.39817	 7.39817	 512062	 -447496	 -447496	 
0.4	 682541	 1.05241e+06	 1.05241e+06	 15.1981	 7.39808	 7.39808	 511662	 -447594	 -447594	 
0.41	 682224	 1.05268e+06	 1.05268e+06	 15.198	 7.39798	 7.39798	 511413	 -447708	 -447708	 
0.42	 682106	 1.05299e+06	 1.05299e+06	 15.1979	 7.39789	 7.39789	 511317	 -447838	 -447838	 
0.43	 682183	 1.05334e+06	 1.05334e+06	 15.1978	 7.39779	 7.39779	 511368	 -447981	 -447981	 
0.44	 682444	 1.05371e+06	 1.05371e+06	 15.1977	 7.39768	 7.39768	 511560	 -448135	 -448135	 
0.45	 682878	 1.0541e+06	 1.0541e+06	 15.1976	 7.39758	 7.39758	 511883	 -448299	 -448299	 
0.46	 683467	 1.05451e+06	 1.05451e+06	 15.1975	 7.39747	 7.39747	 512325	 -448470	 -448470	 
0.47	 684195	 1.05493e+06	 1.05493e+06	 15.1974	 7.39736	 7.39736	 512871	 -448647	 -448647	 
0.48	 685040	 1.05536e+06	 1.05536e+06	 15.1973	 7.39725	 7.39725	 513507	 -448828	 -448828	 
0.49	 685982	 1.05579e+06	 1.05579e+06	 15.1971	 7.39714	 7.39714	 514218	 -449011	 -449011	 
0.5	 687001	 1.05623e+06	 1.05623e+06	 15.197	 7.39702	 7.39702	 514986	 -449195	 -449195	 
0.51	 688075	 1.05667e+06	 1.05667e+06	 15.1969	 7.3969	 7.3969	 515797	 -449377	 -449377	 
0.52	 689184	 1.05709e+06	 1.05709e+06	 15.1968	 7.39678	 7.39678	 516634	 -449556	 -449556	 
0.53	 690310	 1.05751e+06	 1.05751e+06	 15.1967	 7.39666	 7.39666	 517483	 -449731	 -449731	 
0.54	 691433	 1.05792e+06	 1.05792e+06	 15.1965	 7.39653	 7.39653	 518331	 -449901	 -449901	 
0.55	 692539	 1.05831e+06	 1.05831e+06	 15.1964	 7.3964	 7.3964	 519166	 -450065	 -450065	 
0.56	 693612	 1.05868e+06	 1.05868e+06	 15.1963	 7.39627	 7.39627	 519976	 -450221	 -450221	 
0.57	 694641	 1.05904e+06	 1.05904e+06	 15.1961	 7.39614	 7.39614	 520753	 -450369	 -450369	 
0.58	 695616	 1.05937e+06	 1.05937e+06	 15.196	 7.39601	 7.39601	 521489	 -450509	 -450509	 
0.59	 696529	 1.05968e+06	 1.05968e+06	 15.1959	 7.39587	 7.39587	 522177	 -450639	 -450639	 
0.6	 697374	 1.05997e+06	 1.05997e+06	 15.1957	 7.39573	 7.39573	 522814	 -450759	 -450759	 
0.61	 698148	 1.06024e+06	 1.06024e+06	 15.1956	 7.39559	 7.39559	 523397	 -450869	 -450869	 
0.62	 698851	 1.06048e+06	 1.06048e+06	 15.1954	 7.39544	 7.39544	 523926	 -450968	 -450968	 
0.63	 699481	 1.0607e+06	 1.0607e+06	 15.1953	 7.3953	 7.3953	 524400	 -451058	 -451058	 
0.64	 700044	 1.06089e+06	 1.06089e+06	 15.1951	 7.39515	 7.39515	 524822	 -451138	 -451138	 
0.65	 700543	 1.06106e+06	 1.06106e+06	 15.195	 7.395	 7.395	 525196	 -451208	 -451208	 
0.66	 700984	 1.06121e+06	 1.06121e+06	 15.1948	 7.39485	 7.39485	 525527	 -451268	 -451268	 
0.67	 701376	 1.06134e+06	 1.06134e+06	 15.1947	 7.39469	 7.39469	 525820	 -451320	 -451320	 
0.68	 701727	 1.06145e+06	 1.06145e+06	 15.1945	 7.39453	 7.39453	 526083	 -451364	 -451364	 
0.69	 702048	 1.06154e+06	 1.06154e+06	 15.1944	 7.39437	 7.39437	 526322	 -451400	 -451400	 
0.7	 702349	 1.06162e+06	 1.06162e+06	 15.1942	 7.39421	 7.39421	 526546	 -451430	 -451430	 
0.71	 702642	 1.06169e+06	 1.06169e+06	 15.194	 7.39404	 7.39404	 526765	 -451454	 -451454	 
0.72	 702937	 1.06174e+06	 1.06174e+06	 15.1939	 7.39388	 7.39388	 526985	 -451474	 -451474	 
0.73	 703247	 1.06178e+06	 1.06178e+06	 15.1937	 7.39371	 7.39371	 527217	 -451489	 -451489	 
0.74	 703582	 1.06182e+06	 1.06182e+06	 15.1935	 7.39354	 7.39354	 527468	 -451502	 -451502	 
0.75	 703952	 1.06185e+06	 1.06185e+06	 15.1934	 7.39336	 7.39336	 527747	 -451514	 -451514	 
0.76	 704368	 1.06189e+06	 1.06189e+06	 15.1932	 7.39319	 7.39319	 528060	 -451524	 -451524	 
0.77	 704837	 1.06192e+06	 1.06192e+06	 15.193	 7.39301	 7.39301	 528413	 -451535	 -451535	 
0.78	 705365	 1.06195e+06	 1.06195e+06	 15.1928	 7.39283	 7.39283	 528813	 -451547	 -451547	 
0.79	 705960	 1.06199e+06	 1.06199e+06	 15.1926	 7.39264	 7.39264	 529262	 -451560	 -451560	 
0.8	 706624	 1.06204e+06	 1.06204e+06	 15.1925	 7.39246	 7.39246	 529765	 -451577	 -451577	 
0.81	 707359	 1.06209e+06	 1.06209e+06	 15.1923	 7.39227	 7.39227	 530322	 -451597	 -451597	 
0.82	 708165	 1.06216e+06	 1.06216e+06	 15.1921	 7.39208	 7.39208	 530933	 -451622	 -451622	 
0.83	 709040	 1.06223e+06	 1.06223e+06	 15.1919	 7.39189	 7.39189	 531598	 -451650	 -451650	 
0.84	 709981	 1.06231e+06	 1.06231e+06	 15.1917	 7.3917	 7.3917	 532312	 -451684	 -451684	 
0.85	 710983	 1.06241e+06	 1.06241e+06	 15.1915	 7.3915	 7.3915	 533073	 -451722	 -451722	 
0.86	 712037	 1.06252e+06	 1.06252e+06	 15.1913	 7.3913	 7.3913	 533875	 -451765	 -451765	 
0.87	 713136	 1.06263e+06	 1.06263e+06	 15.1911	 7.3911	 7.3911	 534710	 -451812	 -451812	 
0.88	 714270	 1.06276e+06	 1.06276e+06	 15.1909	 7.3909	 7.3909	 535572	 -451863	 -451863	 
0.89	 715427	 1.06289e+06	 1.06289e+06	 15.1907	 7.39069	 7.39069	 536453	 -451917	 -451917	 
0.9	 716596	 1.06303e+06	 1.06303e+06	 15.1905	 7.39048	 7.39048	 537342	 -451973	 -451973	 
0.91	 717765	 1.06317e+06	 1.06317e+06	 15.1903	 7.39027	 7.39027	 538232	 -452031	 -452031	 
0.92	 718920	 1.06331e+06	 1.06331e+06	 15.1901	 7.39006	 7.39006	 539112	 -452090	 -452090	 
0.93	 720050	 1.06345e+06	 1.06345e+06	 15.1898	 7.38985	 7.38985	 539973	 -452149	 -452149	 
0.94	 721142	 1.06359e+06	 1.06359e+06	 15.1896	 7.38963	 7.38963	 540805	 -452207	 -452207	 
0.95	 722184	 1.06373e+06	 1.06373e+06	 15.1894	 7.38941	 7.38941	 541600	 -452263	 -452263	 
0.96	 723165	 1.06386e+06	 1.06386e+06	 15.1892	 7.38919	 7.38919	 542349	 -452317	 -452317	 
0.97	 724076	 1.06399e+06	 1.06399e+06	 15.189	 7.38897	 7.38897	 543044	 -452368	 -452368	 
0.98	 724909	 1.0641e+06	 1.0641e+06	 15.1887	 7.38874	 7.38874	 543680	 -452417	 -452417	 
0.99	 725654	 1.06421e+06	 1.06421e+06	 15.1885	 7.38851	 7.38851	 544251	 -452462	 -452462	 
1	 726308	 1.06432e+06	 1.06432e+06	 15.1883	 7.38828	 7.38828	 544753	 -452505	 -452505	 
1.01	 726866	 1.06442e+06	 1.06442e+06	 15.1881	 7.38805	 7.38805	 545181	 -452544	 -452544	 
1.02	 727326	 1.06451e+06	 1.06451e+06	 15.1878	 7.38782	 7.38782	 545535	 -452581	 -452581	 
1.03	 727686	 1.06459e+06	 1.06459e+06	 15.1876	 7.38758	 7.38758	 545814	 -452616	 -452616	 
1.04	 727949	 1.06467e+06	 1.06467e+06	 15.1873	 7.38734	 7.38734	 546019	 -452649	 -452649	 
1.05	 728115	 1.06475e+06	 1.06475e+06	 15.1871	 7.3871	 7.3871	 546150	 -452681	 -452681	 
1.06	 728189	 1.06483e+06	 1.06483e+06	 15.1869	 7.38686	 7.38686	 546213	 -452711	 -452711	 
1.07	 728176	 1.0649e+06	 1.0649e+06	 15.1866	 7.38661	 7.38661	 546209	 -452742	 -452742	 
1.08	 728083	 1.06498e+06	 1.06498e+06	 15.1864	 7.38637	 7.38637	 546145	 -452773	 -452773	 
1.09	 727916	 1.06506e+06	 1.06506e+06	 15.1861	 7.38612	 7.38612	 546025	 -452805	 -452805	 
1.1	 727685	 1.06514e+06	 1.06514e+06	 15.1859	 7.38586	 7.38586	 545856	 -452839	 -452839	 
1.11	 727397	 1.06523e+06	 1.06523e+06	 15.1856	 7.38561	 7.38561	 545644	 -452875	 -452875	 
1.12	 727062	 1.06532e+06	 1.06532e+06	 15.1854	 7.38535	 7.38535	 545397	 -452913	 -452913	 
1.13	 726689	 1.06542e+06	 1.06542e+06	 15.1851	 7.3851	 7.3851	 545121	 -452955	 -452955	 
1.14	 726287	 1.06553e+06	 1.06553e+06	 15.1848	 7.38484	 7.38484	 544824	 -453000	 -453000	 
1.15	 725866	 1.06565e+06	 1.06565e+06	 15.1846	 7.38457	 7.38457	 544512	 -453050	 -453050	 
1.16	 725433	 1.06578e+06	 1.06578e+06	 15.1843	 7.38431	 7.38431	 544192	 -453103	 -453103	 
1.17	 724999	 1.06592e+06	 1.06592e+06	 15.184	 7.38404	 7.38404	 543871	 -453161	 -453161	 
1.18	 724568	 1.06606e+06	 1.06606e+06	 15.1838	 7.38377	 7.38377	 543553	 -453223	 -453223	 
1.19	 724150	 1.06622e+06	 1.06622e+06	 15.1835	 7.3835	 7.3835	 543244	 -453290	 -453290	 
1.2	 723749	 1.06639e+06	 1.06639e+06	 15.1832	 7.38323	 7.38323	 542949	 -453361	 -453361	 
1.21	 723370	 1.06657e+06	 1.06657e+06	 15.183	 7.38295	 7.38295	 542671	 -453436	 -453436	 
1.22	 723018	 1.06676e+06	 1.06676e+06	 15.1827	 7.38267	 7.38267	 542413	 -453515	 -453515	 
1.23	 722695	 1.06695e+06	 1.06695e+06	 15.1824	 7.38239	 7.38239	 542178	 -453597	 -453597	 
1.24	 722403	 1.06715e+06	 1.06715e+06	 15.1821	 7.38211	 7.38211	 541967	 -453682	 -453682	 
1.25	 722144	 1.06736e+06	 1.06736e+06	 15.1818	 7.38183	 7.38183	 541781	 -453770	 -453770	 
1.26	 721919	 1.06757e+06	 1.06757e+06	 15.1815	 7.38154	 7.38154	 541621	 -453860	 -453860	 
1.27	 721725	 1.06779e+06	 1.06779e+06	 15.1812	 7.38125	 7.38125	 541485	 -453951	 -453951	 
1.28	 721563	 1.06801e+06	 1.06801e+06	 15.181	 7.38096	 7.38096	 541373	 -454043	 -454043	 
1.29	 721430	 1.06822e+06	 1.06822e+06	 15.1807	 7.38066	 7.38066	 541284	 -454136	 -454136	 
1.3	 721324	 1.06844e+06	 1.06844e+06	 15.1804	 7.38037	 7.38037	 541215	 -454229	 -454229	 
1.31	 721243	 1.06866e+06	 1.06866e+06	 15.1801	 7.38007	 7.38007	 541165	 -454320	 -454320	 
1.32	 721182	 1.06887e+06	 1.06887e+06	 15.1798	 7.37977	 7.37977	 541131	 -454411	 -454411	 
1.33	 721139	 1.06908e+06	 1.06908e+06	 15.1795	 7.37947	 7.37947	 541111	 -454499	 -454499	 
1.34	 721111	 1.06928e+06	 1.06928e+06	 15.1792	 7.37916	 7.37916	 541101	 -454585	 -454585	 
1.35	 721093	 1.06948e+06	 1.06948e+06	 15.1789	 7.37885	 7.37885	 541101	 -454668	 -454668	 
1.36	 721083	 1.06967e+06	 1.06967e+06	 15.1785	 7.37855	 7.37855	 541106	 -454748	 -454748	 
1.37	 721078	 1.06985e+06	 1.06985e+06	 15.1782	 7.37823	 7.37823	 541115	 -454824	 -454824	 
1.38	 721075	 1.07002e+06	 1.07002e+06	 15.1779	 7.37792	 7.37792	 541125	 -454897	 -454897	 
1.39	 721071	 1.07018e+06	 1.07018e+06	 15.1776	 7.3776	 7.3776	 541135	 -454964	 -454964	 
1.4	 721064	 1.07033e+06	 1.07033e+06	 15.1773	 7.37729	 7.37729	 541143	 -455028	 -455028	 
1.41	 721053	 1.07047e+06	 1.07047e+06	 15.177	 7.37697	 7.37697	 541148	 -455086	 -455086	 
1.42	 721036	 1.07059e+06	 1.07059e+06	 15.1766	 7.37664	 7.37664	 541148	 -455140	 -455140	 
1.43	 721013	 1.07071e+06	 1.07071e+06	 15.1763	 7.37632	 7.37632	 541144	 -455188	 -455188	 
1.44	 720982	 1.07081e+06	 1.07081e+06	 15.176	 7.37599	 7.37599	 541134	 -455232	 -455232	 
1.45	 720944	 1.0709e+06	 1.0709e+06	 15.1757	 7.37566	 7.37566	 541118	 -455270	 -455270	 
1.46	 720899	 1.07098e+06	 1.07098e+06	 15.1753	 7.37533	 7.37533	 541098	 -455304	 -455304	 
1.47	 720849	 1.07105e+06	 1.07105e+06	 15.175	 7.37499	 7.37499	 541073	 -455332	 -455332	 
1.48	 720793	 1.07111e+06	 1.07111e+06	 15.1747	 7.37466	 7.37466	 541044	 -455356	 -455356	 
1.49	 720734	 1.07116e+06	 1.07116e+06	 15.1743	 7.37432	 7.37432	 541013	 -455376	 -455376	 
1.5	 720672	 1.07119e+06	 1.07119e+06	 15.174	 7.37398	 7.37398	 540979	 -455391	 -455391	 
1.51	 720610	 1.07122e+06	 1.07122e+06	 15.1736	 7.37364	 7.37364	 540946	 -455402	 -455402	 
1.52	 720549	 1.07124e+06	 1.07124e+06	 15.1733	 7.37329	 7.37329	 540913	 -455409	 -455409	 
1.53	 720490	 1.07125e+06	 1.07125e+06	 15.1729	 7.37294	 7.37294	 540881	 -455413	 -455413	 
1.54	 720435	 1.07125e+06	 1.07125e+06	 15.1726	 7.37259	 7.37259	 540853	 -455414	 -455414	 
1.55	 720385	 1.07125e+06	 1.07125e+06	 15.1722	 7.37224	 7.37224	 540829	 -455412	 -455412	 
1.56	 720342	 1.07124e+06	 1.07124e+06	 15.1719	 7.37189	 7.37189	 540811	 -455407	 -455407	 
1.57	 720307	 1.07122e+06	 1.07122e+06	 15.1715	 7.37153	 7.37153	 540797	 -455400	 -455400	 
1.58	 720280	 1.0712e+06	 1.0712e+06	 15.1712	 7.37117	 7.37117	 540791	 -455391	 -455391	 
1.59	 720262	 1.07118e+06	 1.07118e+06	 15.1708	 7.37081	 7.37081	 540791	 -455380	 -455380	 
1.6	 720252	 1.07115e+06	 1.07115e+06	 15.1704	 7.37045	 7.37045	 540797	 -455368	 -455368	 
1.61	 720251	 1.07112e+06	 1.07112e+06	 15.1701	 7.37008	 7.37008	 540810	 -455354	 -455354	 
1.62	 720257	 1.07109e+06	 1.07109e+06	 15.1697	 7.36971	 7.36971	 540828	 -455340	 -455340	 
1.63	 720270	 1.07105e+06	 1.07105e+06	 15.1693	 7.36934	 7.36934	 540851	 -455324	 -455324	 
1.64	 720287	 1.07102e+06	 1.07102e+06	 15.169	 7.36897	 7.36897	 540878	 -455308	 -455308	 
1.65	 720307	 1.07098e+06	 1.07098e+06	 15.1686	 7.3686	 7.3686	 540907	 -455291	 -455291	 
1.66	 720329	 1.07094e+06	 1.07094e+06	 15.1682	 7.36822	 7.36822	 540937	 -455274	 -455274	 
1.67	 720349	 1.0709e+06	 1.0709e+06	 15.1678	 7.36784	 7.36784	 540966	 -455256	 -455256	 
1.68	 720364	 1.07086e+06	 1.07086e+06	 15.1675	 7.36746	 7.36746	 540991	 -455238	 -455238	 
1.69	 720373	 1.07082e+06	 1.07082e+06	 15.1671	 7.36708	 7.36708	 541011	 -455220	 -455220	 
1.7	 720371	 1.07077e+06	 1.07077e+06	 15.1667	 7.36669	 7.36669	 541023	 -455201	 -455201	 
1.71	 720356	 1.07073e+06	 1.07073e+06	 15.1663	 7.3663	 7.3663	 541026	 -455182	 -455182	 
1.72	 720325	 1.07069e+06	 1.07069e+06	 15.1659	 7.36591	 7.36591	 541015	 -455163	 -455163	 
1.73	 720275	 1.07064e+06	 1.07064e+06	 15.1655	 7.36552	 7.36552	 540990	 -455144	 -455144	 
1.74	 720203	 1.0706e+06	 1.0706e+06	 15.1651	 7.36513	 7.36513	 540948	 -455124	 -455124	 
1.75	 720105	 1.07055e+06	 1.07055e+06	 15.1647	 7.36473	 7.36473	 540887	 -455105	 -455105	 
1.76	 719980	 1.07051e+06	 1.07051e+06	 15.1643	 7.36433	 7.36433	 540805	 -455085	 -455085	 
1.77	 719824	 1.07046e+06	 1.07046e+06	 15.1639	 7.36393	 7.36393	 540699	 -455065	 -455065	 
1.78	 719637	 1.07042e+06	 1.07042e+06	 15.1635	 7.36352	 7.36352	 540569	 -455045	 -455045	 
1.79	 719415	 1.07037e+06	 1.07037e+06	 15.1631	 7.36312	 7.36312	 540413	 -455024	 -455024	 
1.8	 719158	 1.07032e+06	 1.07032e+06	 15.1627	 7.36271	 7.36271	 540231	 -455004	 -455004	 
1.81	 718866	 1.07028e+06	 1.07028e+06	 15.1623	 7.3623	 7.3623	 540020	 -454983	 -454983	 
1.82	 718536	 1.07023e+06	 1.07023e+06	 15.1619	 7.36189	 7.36189	 539782	 -454963	 -454963	 
1.83	 718170	 1.07019e+06	 1.07019e+06	 15.1615	 7.36147	 7.36147	 539515	 -454943	 -454943	 
1.84	 717766	 1.07014e+06	 1.07014e+06	 15.1611	 7.36106	 7.36106	 539220	 -454923	 -454923	 
1.85	 717327	 1.07009e+06	 1.07009e+06	 15.1606	 7.36064	 7.36064	 538898	 -454903	 -454903	 
1.86	 716853	 1.07005e+06	 1.07005e+06	 15.1602	 7.36022	 7.36022	 538549	 -454883	 -454883	 
1.87	 716346	 1.07001e+06	 1.07001e+06	 15.1598	 7.35979	 7.35979	 538174	 -454864	 -454864	 
1.88	 715807	 1.06997e+06	 1.06997e+06	 15.1594	 7.35937	 7.35937	 537775	 -454846	 -454846	 
1.89	 715238	 1.06993e+06	 1.06993e+06	 15.1589	 7.35894	 7.35894	 537354	 -454828	 -454828	 
1.9	 714642	 1.06989e+06	 1.06989e+06	 15.1585	 7.35851	 7.35851	 536911	 -454811	 -454811	 
1.91	 714021	 1.06985e+06	 1.06985e+06	 15.1581	 7.35808	 7.35808	 536450	 -454795	 -454795	 
1.92	 713378	 1.06982e+06	 1.06982e+06	 15.1576	 7.35764	 7.35764	 535971	 -454780	 -454780	 
1.93	 712716	 1.06978e+06	 1.06978e+06	 15.1572	 7.3572	 7.3572	 535478	 -454766	 -454766	 
1.94	 712038	 1.06975e+06	 1.06975e+06	 15.1568	 7.35676	 7.35676	 534973	 -454753	 -454753	 
1.95	 711347	 1.06973e+06	 1.06973e+06	 15.1563	 7.35632	 7.35632	 534457	 -454741	 -454741	 
1.96	 710647	 1.0697e+06	 1.0697e+06	 15.1559	 7.35588	 7.35588	 533934	 -454730	 -454730	 
1.97	 709939	 1.06968e+06	 1.06968e+06	 15.1554	 7.35543	 7.35543	 533405	 -454720	 -454720	 
1.98	 709228	 1.06966e+06	 1.06966e+06	 15.155	 7.35499	 7.35499	 532873	 -454712	 -454712	 
1.99	 708515	 1.06965e+06	 1.06965e+06	 15.1545	 7.35453	 7.35453	 532341	 -454704	 -454704	 
2	 707805	 1.06963e+06	 1.06963e+06	 15.1541	 7.35408	 7.35408	 531809	 -454697	 -454697	 
2.01	 707099	 1.06962e+06	 1.06962e+06	 15.1536	 7.35363	 7.35363	 531281	 -454691	 -454691	 
2.02	 706399	 1.06961e+06	 1.06961e+06	 15.1532	 7.35317	 7.35317	 530758	 -454686	 -454686	 
2.03	 705709	 1.0696e+06	 1.0696e+06	 15.1527	 7.35271	 7.35271	 530241	 -454682	 -454682	 
2.04	 705029	 1.06959e+06	 1.06959e+06	 15.1522	 7.35225	 7.35225	 529732	 -454678	 -454678	 
2.05	 704362	 1.06958e+06	 1.06958e+06	 15.1518	 7.35178	 7.35178	 529233	 -454674	 -454674	 
2.06	 703709	 1.06958e+06	 1.06958e+06	 15.1513	 7.35132	 7.35132	 528745	 -454670	 -454670	 
2.07	 703072	 1.06957e+06	 1.06957e+06	 15.1508	 7.35085	 7.35085	 528268	 -454667	 -454667	 
2.08	 702452	 1.06956e+06	 1.06956e+06	 15.1504	 7.35038	 7.35038	 527804	 -454663	 -454663	 
2.09	 701849	 1.06955e+06	 1.06955e+06	 15.1499	 7.34991	 7.34991	 527352	 -454659	 -454659	 
2.1	 701264	 1.06954e+06	 1.06954e+06	 15.1494	 7.34943	 7.34943	 526915	 -454654	 -454654	 
2.11	 700698	 1.06953e+06	 1.06953e+06	 15.149	 7.34895	 7.34895	 526491	 -454648	 -454648	 
2.12	 700151	 1.06951e+06	 1.06951e+06	 15.1485	 7.34847	 7.34847	 526082	 -454641	 -454641	 
2.13	 699623	 1.0695e+06	 1.0695e+06	 15.148	 7.34799	 7.34799	 525687	 -454632	 -454632	 
2.14	 699115	 1.06947e+06	 1.06947e+06	 15.1475	 7.34751	 7.34751	 525307	 -454623	 -454623	 
2.15	 698626	 1.06945e+06	 1.06945e+06	 15.147	 7.34702	 7.34702	 524941	 -454611	 -454611	 
2.16	 698155	 1.06942e+06	 1.06942e+06	 15.1465	 7.34653	 7.34653	 524590	 -454597	 -454597	 
2.17	 697704	 1.06938e+06	 1.06938e+06	 15.146	 7.34604	 7.34604	 524252	 -454582	 -454582	 
2.18	 697271	 1.06934e+06	 1.06934e+06	 15.1455	 7.34554	 7.34554	 523929	 -454564	 -454564	 
2.19	 696857	 1.0693e+06	 1.0693e+06	 15.145	 7.34505	 7.34505	 523619	 -454543	 -454543	 
2.2	 696460	 1.06924e+06	 1.06924e+06	 15.1445	 7.34455	 7.34455	 523323	 -454521	 -454521	 
2.21	 696081	 1.06919e+06	 1.06919e+06	 15.144	 7.34405	 7.34405	 523039	 -454495	 -454495	 
2.22	 695719	 1.06912e+06	 1.06912e+06	 15.1435	 7.34355	 7.34355	 522769	 -454466	 -454466	 
2.23	 695374	 1.06905e+06	 1.06905e+06	 15.143	 7.34304	 7.34304	 522511	 -454435	 -454435	 
2.24	 695045	 1.06897e+06	 1.06897e+06	 15.1425	 7.34253	 7.34253	 522266	 -454401	 -454401	 
2.25	 694733	 1.06888e+06	 1.06888e+06	 15.142	 7.34202	 7.34202	 522033	 -454364	 -454364	 
2.26	 694436	 1.06879e+06	 1.06879e+06	 15.1415	 7.34151	 7.34151	 521811	 -454323	 -454323	 
2.27	 694155	 1.06869e+06	 1.06869e+06	 15.141	 7.341	 7.341	 521602	 -454280	 -454280	 
2.28	 693890	 1.06859e+06	 1.06859e+06	 15.1405	 7.34048	 7.34048	 521403	 -454234	 -454234	 
2.29	 693639	 1.06847e+06	 1.06847e+06	 15.14	 7.33996	 7.33996	 521216	 -454185	 -454185	 
2.3	 693403	 1.06835e+06	 1.06835e+06	 15.1394	 7.33944	 7.33944	 521040	 -454133	 -454133	 
