Time	 FairTen1	 FairTen2	 FairTen3	 L1N20pZ	 L2N20pZ	 L3N20pZ	 L1N20FZ	 L2N20FZ	 L3N20FZ	 
(s)	 (N)       	 (N)       	 (N)       	 (m)       	 (m)       	 (m)       	 (N)       	 (N)       	 (N)       	 
0	 971609	 972114	 972114	 -65	 -65	 -65	 -557450	 -557473	 -557473	 
0.0120482	 971560	 972065	 972065	 -65	 -65	 -65	 -557419	 -557443	 -557443	 
0.0120482	 971390	 971895	 971895	 -65	 -65	 -65	 -557322	 -557346	 -557346	 
0.0265769	 971388	 971894	 971894	 -65	 -65	 -65	 -557318	 -557342	 -557342	 
0.0265769	 970914	 971419	 971419	 -65.0001	 -65.0001	 -65.0001	 -557047	 -557071	 -557071	 
0.0439595	 971052	 971557	 971557	 -65.0001	 -65.0001	 -65.0001	 -557122	 -557145	 -557145	 
0.0439595	 970349	 970854	 970854	 -65.0004	 -65.0004	 -65.0004	 -556719	 -556743	 -556743	 
0.0647429	 970664	 971170	 971170	 -65.0004	 -65.0004	 -65.0004	 -556894	 -556918	 -556918	 
0.0647429	 969686	 970192	 970192	 -65.0008	 -65.0008	 -65.0008	 -556332	 -556356	 -556356	 
0.089355	 970195	 970701	 970701	 -65.0008	 -65.0008	 -65.0008	 -556617	 -556641	 -556641	 
0.089355	 968923	 969428	 969428	 -65.0014	 -65.0014	 -65.0014	 -555884	 -555908	 -555908	 
0.118731	 969595	 970101	 970101	 -65.0015	 -65.0015	 -65.0015	 -556260	 -556284	 -556284	 
0.118731	 968027	 968533	 968533	 -65.0024	 -65.0024	 -65.0024	 -555355	 -555379	 -555379	 
0.15137	 968939	 969445	 969445	 -65.0025	 -65.0025	 -65.0025	 -555868	 -555892	 -555892	 
0.15137	 967097	 967604	 967604	 -65.0039	 -65.0039	 -65.0039	 -554801	 -554825	 -554825	 
0.179658	 968660	 969166	 969166	 -65.0037	 -65.0037	 -65.0037	 -555689	 -555713	 -555713	 
0.179658	 966563	 967070	 967070	 -65.005	 -65.005	 -65.005	 -554477	 -554502	 -554502	 
0.207946	 967940	 968446	 968446	 -65.005	 -65.005	 -65.005	 -555259	 -555283	 -555283	 
0.207946	 965600	 966106	 966106	 -65.0066	 -65.0066	 -65.0066	 -553905	 -553929	 -553929	 
0.236233	 967336	 967843	 967843	 -65.0066	 -65.0066	 -65.0066	 -554892	 -554917	 -554917	 
0.236233	 964748	 965254	 965254	 -65.0083	 -65.0083	 -65.0083	 -553395	 -553419	 -553419	 
0.264521	 966760	 967266	 967266	 -65.0083	 -65.0083	 -65.0083	 -554540	 -554564	 -554564	 
0.264521	 963925	 964431	 964431	 -65.0103	 -65.0103	 -65.0103	 -552899	 -552924	 -552924	 
0.292809	 966192	 966699	 966699	 -65.0103	 -65.0103	 -65.0103	 -554191	 -554215	 -554215	 
0.292809	 963111	 963618	 963618	 -65.0124	 -65.0124	 -65.0124	 -552408	 -552432	 -552432	 
0.319001	 965934	 966441	 966441	 -65.0122	 -65.0122	 -65.0122	 -554019	 -554043	 -554043	 
0.319001	 962575	 963081	 963081	 -65.0144	 -65.0144	 -65.0144	 -552077	 -552102	 -552102	 
0.341701	 965917	 966424	 966424	 -65.0141	 -65.0141	 -65.0141	 -553986	 -554011	 -554011	 
0.341701	 962251	 962758	 962758	 -65.0161	 -65.0161	 -65.0161	 -551873	 -551897	 -551897	 
0.363644	 965280	 965787	 965787	 -65.016	 -65.016	 -65.016	 -553601	 -553626	 -553626	 
0.363644	 961380	 961887	 961887	 -65.018	 -65.018	 -65.018	 -551354	 -551378	 -551378	 
0.384856	 964760	 965267	 965267	 -65.018	 -65.018	 -65.018	 -553283	 -553307	 -553307	 
0.384856	 960720	 961227	 961227	 -65.02	 -65.02	 -65.02	 -550955	 -550980	 -550980	 
0.406068	 964240	 964747	 964747	 -65.02	 -65.02	 -65.02	 -552964	 -552989	 -552989	 
0.406068	 959999	 960507	 960507	 -65.0222	 -65.0222	 -65.0222	 -550521	 -550546	 -550546	 
0.426548	 964000	 964507	 964507	 -65.0222	 -65.0222	 -65.0222	 -552805	 -552830	 -552830	 
0.426548	 959540	 960047	 960047	 -65.0244	 -65.0244	 -65.0244	 -550237	 -550262	 -550262	 
0.448604	 963168	 963675	 963675	 -65.0245	 -65.0245	 -65.0245	 -552308	 -552333	 -552333	 
0.448604	 958547	 959054	 959054	 -65.027	 -65.027	 -65.027	 -549644	 -549669	 -549669	 
0.47066	 962958	 963465	 963465	 -65.027	 -65.027	 -65.027	 -552164	 -552188	 -552188	 
0.47066	 958129	 958636	 958636	 -65.0296	 -65.0296	 -65.0296	 -549380	 -549405	 -549405	 
0.489565	 963531	 964038	 964038	 -65.0293	 -65.0293	 -65.0293	 -552469	 -552493	 -552493	 
0.489565	 958445	 958953	 958953	 -65.0316	 -65.0316	 -65.0316	 -549543	 -549568	 -549568	 
0.507795	 962839	 963346	 963346	 -65.0315	 -65.0315	 -65.0315	 -552055	 -552079	 -552079	 
0.507795	 957683	 958190	 958190	 -65.0339	 -65.0339	 -65.0339	 -549089	 -549114	 -549114	 
0.526726	 962169	 962676	 962676	 -65.0339	 -65.0339	 -65.0339	 -551653	 -551677	 -551677	 
0.526726	 956722	 957229	 957229	 -65.0364	 -65.0364	 -65.0364	 -548519	 -548544	 -548544	 
0.544254	 962203	 962710	 962710	 -65.0363	 -65.0363	 -65.0363	 -551651	 -551676	 -551676	 
0.544254	 956694	 957201	 957201	 -65.0387	 -65.0387	 -65.0387	 -548485	 -548510	 -548510	 
0.558956	 962523	 963030	 963030	 -65.0383	 -65.0383	 -65.0383	 -551817	 -551842	 -551842	 
0.558956	 957090	 957597	 957597	 -65.0403	 -65.0403	 -65.0403	 -548699	 -548723	 -548723	 
0.571557	 962270	 962777	 962777	 -65.04	 -65.04	 -65.04	 -551659	 -551683	 -551683	 
0.571557	 957041	 957548	 957548	 -65.0418	 -65.0418	 -65.0418	 -548660	 -548684	 -548684	 
0.58454	 961323	 961830	 961830	 -65.0419	 -65.0419	 -65.0419	 -551106	 -551131	 -551131	 
0.58454	 955869	 956376	 956376	 -65.0438	 -65.0438	 -65.0438	 -547978	 -548003	 -548003	 
0.598866	 960380	 960887	 960887	 -65.044	 -65.044	 -65.044	 -550553	 -550578	 -550578	 
0.598866	 954677	 955184	 955184	 -65.0461	 -65.0461	 -65.0461	 -547281	 -547305	 -547305	 
0.614912	 959797	 960304	 960304	 -65.0464	 -65.0464	 -65.0464	 -550204	 -550229	 -550229	 
0.614912	 953796	 954303	 954303	 -65.0488	 -65.0488	 -65.0488	 -546757	 -546782	 -546782	 
0.632416	 959611	 960118	 960118	 -65.0491	 -65.0491	 -65.0491	 -550080	 -550104	 -550104	 
0.632416	 953273	 953780	 953780	 -65.0518	 -65.0518	 -65.0518	 -546437	 -546462	 -546462	 
0.64992	 959775	 960282	 960282	 -65.0518	 -65.0518	 -65.0518	 -550154	 -550179	 -550179	 
0.64992	 953272	 953780	 953780	 -65.0547	 -65.0547	 -65.0547	 -546417	 -546442	 -546442	 
0.667424	 959628	 960135	 960135	 -65.0547	 -65.0547	 -65.0547	 -550052	 -550076	 -550076	 
0.667424	 952960	 953468	 953468	 -65.0576	 -65.0576	 -65.0576	 -546220	 -546245	 -546245	 
0.684053	 959643	 960149	 960149	 -65.0574	 -65.0574	 -65.0574	 -550042	 -550067	 -550067	 
0.684053	 952862	 953369	 953369	 -65.0603	 -65.0603	 -65.0603	 -546148	 -546172	 -546172	 
0.700681	 959099	 959606	 959606	 -65.0603	 -65.0603	 -65.0603	 -549716	 -549741	 -549741	 
0.700681	 952164	 952671	 952671	 -65.0632	 -65.0632	 -65.0632	 -545732	 -545757	 -545757	 
0.71731	 958620	 959127	 959127	 -65.0632	 -65.0632	 -65.0632	 -549427	 -549451	 -549451	 
0.71731	 951528	 952035	 952035	 -65.0661	 -65.0661	 -65.0661	 -545353	 -545378	 -545378	 
0.731445	 958978	 959485	 959485	 -65.0657	 -65.0657	 -65.0657	 -549615	 -549640	 -549640	 
0.731445	 952144	 952651	 952651	 -65.0683	 -65.0683	 -65.0683	 -545694	 -545719	 -545719	 
0.743652	 958714	 959221	 959221	 -65.0679	 -65.0679	 -65.0679	 -549453	 -549478	 -549478	 
0.743652	 952143	 952650	 952650	 -65.0702	 -65.0702	 -65.0702	 -545686	 -545711	 -545711	 
0.754797	 957965	 958472	 958472	 -65.07	 -65.07	 -65.07	 -549016	 -549041	 -549041	 
0.754797	 951583	 952090	 952090	 -65.0721	 -65.0721	 -65.0721	 -545359	 -545384	 -545384	 
0.765014	 957290	 957797	 957797	 -65.0719	 -65.0719	 -65.0719	 -548623	 -548647	 -548647	 
0.765014	 951098	 951605	 951605	 -65.0738	 -65.0738	 -65.0738	 -545076	 -545101	 -545101	 
0.774414	 956674	 957181	 957181	 -65.0737	 -65.0737	 -65.0737	 -548263	 -548288	 -548288	 
0.774414	 950669	 951176	 951176	 -65.0755	 -65.0755	 -65.0755	 -544825	 -544850	 -544850	 
0.78309	 956102	 956609	 956609	 -65.0754	 -65.0754	 -65.0754	 -547930	 -547955	 -547955	 
0.78309	 950280	 950787	 950787	 -65.077	 -65.077	 -65.077	 -544598	 -544622	 -544622	 
0.791124	 955404	 955911	 955911	 -65.0769	 -65.0769	 -65.0769	 -547526	 -547550	 -547550	 
0.791124	 949881	 950388	 950388	 -65.0785	 -65.0785	 -65.0785	 -544364	 -544389	 -544389	 
0.798584	 954906	 955413	 955413	 -65.0784	 -65.0784	 -65.0784	 -547236	 -547260	 -547260	 
0.798584	 949549	 950056	 950056	 -65.0798	 -65.0798	 -65.0798	 -544170	 -544195	 -544195	 
0.805529	 954436	 954943	 954943	 -65.0797	 -65.0797	 -65.0797	 -546962	 -546987	 -546987	 
0.805529	 949239	 949746	 949746	 -65.0811	 -65.0811	 -65.0811	 -543989	 -544014	 -544014	 
0.812235	 953811	 954318	 954318	 -65.0811	 -65.0811	 -65.0811	 -546601	 -546626	 -546626	 
0.812235	 948726	 949233	 949233	 -65.0824	 -65.0824	 -65.0824	 -543692	 -543717	 -543717	 
0.818709	 953253	 953760	 953760	 -65.0824	 -65.0824	 -65.0824	 -546278	 -546303	 -546303	 
0.818709	 948281	 948788	 948788	 -65.0837	 -65.0837	 -65.0837	 -543434	 -543458	 -543458	 
0.825184	 952716	 953222	 953222	 -65.0837	 -65.0837	 -65.0837	 -545967	 -545991	 -545991	 
0.825184	 947706	 948213	 948213	 -65.085	 -65.085	 -65.085	 -543101	 -543125	 -543125	 
0.831659	 952247	 952753	 952753	 -65.085	 -65.085	 -65.085	 -545695	 -545719	 -545719	 
0.831659	 947199	 947706	 947706	 -65.0863	 -65.0863	 -65.0863	 -542807	 -542832	 -542832	 
0.838133	 951830	 952336	 952336	 -65.0863	 -65.0863	 -65.0863	 -545452	 -545476	 -545476	 
0.838133	 946744	 947251	 947251	 -65.0877	 -65.0877	 -65.0877	 -542543	 -542568	 -542568	 
0.844608	 951451	 951958	 951958	 -65.0877	 -65.0877	 -65.0877	 -545231	 -545256	 -545256	 
0.844608	 946328	 946835	 946835	 -65.089	 -65.089	 -65.089	 -542301	 -542325	 -542325	 
0.851083	 951099	 951606	 951606	 -65.089	 -65.089	 -65.089	 -545026	 -545050	 -545050	 
0.851083	 945939	 946446	 946446	 -65.0904	 -65.0904	 -65.0904	 -542074	 -542098	 -542098	 
0.857557	 950766	 951273	 951273	 -65.0904	 -65.0904	 -65.0904	 -544831	 -544856	 -544856	 
0.857557	 945568	 946075	 946075	 -65.0917	 -65.0917	 -65.0917	 -541858	 -541882	 -541882	 
0.864032	 950446	 950953	 950953	 -65.0917	 -65.0917	 -65.0917	 -544644	 -544668	 -544668	 
0.864032	 945211	 945718	 945718	 -65.0931	 -65.0931	 -65.0931	 -541649	 -541674	 -541674	 
0.870507	 950135	 950642	 950642	 -65.0931	 -65.0931	 -65.0931	 -544462	 -544486	 -544486	 
0.870507	 944862	 945368	 945368	 -65.0945	 -65.0945	 -65.0945	 -541445	 -541470	 -541470	 
0.876673	 949869	 950375	 950375	 -65.0945	 -65.0945	 -65.0945	 -544305	 -544330	 -544330	 
0.876673	 944778	 945285	 945285	 -65.0958	 -65.0958	 -65.0958	 -541393	 -541418	 -541418	 
0.882546	 949686	 950192	 950192	 -65.0957	 -65.0957	 -65.0957	 -544197	 -544221	 -544221	 
0.882546	 944670	 945177	 945177	 -65.097	 -65.097	 -65.097	 -541328	 -541353	 -541353	 
0.888419	 949307	 949814	 949814	 -65.097	 -65.097	 -65.097	 -543977	 -544001	 -544001	 
0.888419	 944259	 944766	 944766	 -65.0983	 -65.0983	 -65.0983	 -541090	 -541115	 -541115	 
0.893998	 948988	 949495	 949495	 -65.0982	 -65.0982	 -65.0982	 -543791	 -543816	 -543816	 
0.893998	 944133	 944640	 944640	 -65.0994	 -65.0994	 -65.0994	 -541015	 -541039	 -541039	 
0.899577	 948611	 949118	 949118	 -65.0994	 -65.0994	 -65.0994	 -543573	 -543597	 -543597	 
0.899577	 943727	 944234	 944234	 -65.1007	 -65.1007	 -65.1007	 -540780	 -540804	 -540804	 
0.905156	 948259	 948765	 948765	 -65.1007	 -65.1007	 -65.1007	 -543368	 -543393	 -543393	 
0.905156	 943345	 943852	 943852	 -65.1019	 -65.1019	 -65.1019	 -540559	 -540583	 -540583	 
0.910735	 947928	 948435	 948435	 -65.1019	 -65.1019	 -65.1019	 -543176	 -543201	 -543201	 
0.910735	 942986	 943493	 943493	 -65.1032	 -65.1032	 -65.1032	 -540350	 -540375	 -540375	 
0.916314	 947615	 948122	 948122	 -65.1032	 -65.1032	 -65.1032	 -542995	 -543019	 -543019	 
0.916314	 942644	 943151	 943151	 -65.1044	 -65.1044	 -65.1044	 -540152	 -540176	 -540176	 
0.921893	 947318	 947824	 947824	 -65.1044	 -65.1044	 -65.1044	 -542821	 -542846	 -542846	 
0.921893	 942317	 942824	 942824	 -65.1057	 -65.1057	 -65.1057	 -539962	 -539987	 -539987	 
0.927472	 947032	 947538	 947538	 -65.1057	 -65.1057	 -65.1057	 -542655	 -542679	 -542679	 
0.927472	 942002	 942509	 942509	 -65.107	 -65.107	 -65.107	 -539779	 -539803	 -539803	 
0.933516	 946577	 947083	 947083	 -65.1071	 -65.1071	 -65.1071	 -542392	 -542416	 -542416	 
0.933516	 941264	 941771	 941771	 -65.1085	 -65.1085	 -65.1085	 -539353	 -539378	 -539378	 
0.93956	 946383	 946890	 946890	 -65.1085	 -65.1085	 -65.1085	 -542278	 -542302	 -542302	 
0.93956	 941037	 941544	 941544	 -65.1099	 -65.1099	 -65.1099	 -539220	 -539245	 -539245	 
0.945604	 946178	 946684	 946684	 -65.1099	 -65.1099	 -65.1099	 -542157	 -542181	 -542181	 
0.945604	 940799	 941306	 941306	 -65.1113	 -65.1113	 -65.1113	 -539081	 -539105	 -539105	 
0.951648	 945960	 946466	 946466	 -65.1113	 -65.1113	 -65.1113	 -542029	 -542053	 -542053	 
0.951648	 940549	 941055	 941055	 -65.1127	 -65.1127	 -65.1127	 -538934	 -538959	 -538959	 
0.957692	 945732	 946238	 946238	 -65.1127	 -65.1127	 -65.1127	 -541896	 -541920	 -541920	 
0.957692	 940288	 940794	 940794	 -65.1141	 -65.1141	 -65.1141	 -538782	 -538807	 -538807	 
0.963736	 945495	 946002	 946002	 -65.1141	 -65.1141	 -65.1141	 -541757	 -541782	 -541782	 
0.963736	 940019	 940525	 940525	 -65.1155	 -65.1155	 -65.1155	 -538625	 -538650	 -538650	 
0.96978	 945253	 945759	 945759	 -65.1155	 -65.1155	 -65.1155	 -541616	 -541640	 -541640	 
0.96978	 939743	 940250	 940250	 -65.117	 -65.117	 -65.117	 -538465	 -538489	 -538489	 
0.975824	 945006	 945512	 945512	 -65.117	 -65.117	 -65.117	 -541472	 -541496	 -541496	 
0.975824	 939464	 939971	 939971	 -65.1184	 -65.1184	 -65.1184	 -538302	 -538327	 -538327	 
0.981868	 944757	 945263	 945263	 -65.1184	 -65.1184	 -65.1184	 -541327	 -541351	 -541351	 
0.981868	 939182	 939689	 939689	 -65.1199	 -65.1199	 -65.1199	 -538138	 -538163	 -538163	 
0.987912	 944507	 945013	 945013	 -65.1199	 -65.1199	 -65.1199	 -541181	 -541205	 -541205	 
0.987912	 938899	 939406	 939406	 -65.1214	 -65.1214	 -65.1214	 -537974	 -537998	 -537998	 
0.993956	 944256	 944762	 944762	 -65.1214	 -65.1214	 -65.1214	 -541035	 -541059	 -541059	 
0.993956	 938616	 939122	 939122	 -65.1228	 -65.1228	 -65.1228	 -537810	 -537834	 -537834	 
1	 944006	 944512	 944512	 -65.1228	 -65.1228	 -65.1228	 -540890	 -540914	 -540914	 
1	 938333	 938839	 938839	 -65.1243	 -65.1243	 -65.1243	 -537645	 -537670	 -537670	 
1.00633	 943719	 944225	 944225	 -65.1244	 -65.1244	 -65.1244	 -540723	 -540747	 -540747	 
1.00633	 937780	 938286	 938286	 -65.126	 -65.126	 -65.126	 -537327	 -537351	 -537351	 
1.0127	 943521	 944027	 944027	 -65.126	 -65.126	 -65.126	 -540607	 -540632	 -540632	 
1.0127	 937513	 938020	 938020	 -65.1276	 -65.1276	 -65.1276	 -537171	 -537196	 -537196	 
1.01907	 943326	 943832	 943832	 -65.1276	 -65.1276	 -65.1276	 -540493	 -540517	 -540517	 
1.01907	 937282	 937788	 937788	 -65.1291	 -65.1291	 -65.1291	 -537037	 -537061	 -537061	 
1.02544	 943118	 943624	 943624	 -65.1291	 -65.1291	 -65.1291	 -540372	 -540396	 -540396	 
1.02544	 937038	 937545	 937545	 -65.1307	 -65.1307	 -65.1307	 -536895	 -536919	 -536919	 
1.03181	 942901	 943407	 943407	 -65.1307	 -65.1307	 -65.1307	 -540245	 -540269	 -540269	 
1.03181	 936785	 937291	 937291	 -65.1324	 -65.1324	 -65.1324	 -536748	 -536772	 -536772	 
1.03822	 942670	 943176	 943176	 -65.1324	 -65.1324	 -65.1324	 -540111	 -540135	 -540135	 
1.03822	 936483	 936990	 936990	 -65.134	 -65.134	 -65.134	 -536573	 -536597	 -536597	 
1.04467	 942443	 942949	 942949	 -65.134	 -65.134	 -65.134	 -539980	 -540004	 -540004	 
1.04467	 936184	 936690	 936690	 -65.1357	 -65.1357	 -65.1357	 -536400	 -536424	 -536424	 
1.05117	 942220	 942726	 942726	 -65.1357	 -65.1357	 -65.1357	 -539850	 -539874	 -539874	 
1.05117	 935887	 936394	 936394	 -65.1374	 -65.1374	 -65.1374	 -536228	 -536252	 -536252	 
1.05772	 942001	 942507	 942507	 -65.1374	 -65.1374	 -65.1374	 -539723	 -539746	 -539746	 
1.05772	 935593	 936099	 936099	 -65.1391	 -65.1391	 -65.1391	 -536058	 -536082	 -536082	 
1.06431	 941785	 942291	 942291	 -65.1391	 -65.1391	 -65.1391	 -539597	 -539621	 -539621	 
1.06431	 935301	 935807	 935807	 -65.1408	 -65.1408	 -65.1408	 -535889	 -535913	 -535913	 
1.07099	 941566	 942071	 942071	 -65.1408	 -65.1408	 -65.1408	 -539470	 -539494	 -539494	 
1.07099	 934963	 935469	 935469	 -65.1426	 -65.1426	 -65.1426	 -535694	 -535718	 -535718	 
1.07777	 941360	 941865	 941865	 -65.1426	 -65.1426	 -65.1426	 -539350	 -539374	 -539374	 
1.07777	 934635	 935141	 935141	 -65.1444	 -65.1444	 -65.1444	 -535505	 -535529	 -535529	 
1.08465	 941165	 941671	 941671	 -65.1444	 -65.1444	 -65.1444	 -539237	 -539261	 -539261	 
1.08465	 934315	 934821	 934821	 -65.1463	 -65.1463	 -65.1463	 -535319	 -535343	 -535343	 
1.09159	 940989	 941494	 941494	 -65.1463	 -65.1463	 -65.1463	 -539135	 -539158	 -539158	 
1.09159	 934052	 934558	 934558	 -65.1481	 -65.1481	 -65.1481	 -535168	 -535192	 -535192	 
1.09858	 940808	 941313	 941313	 -65.1481	 -65.1481	 -65.1481	 -539030	 -539053	 -539053	 
1.09858	 933784	 934290	 934290	 -65.15	 -65.15	 -65.15	 -535013	 -535036	 -535036	 
1.10562	 940468	 940974	 940974	 -65.15	 -65.15	 -65.15	 -538834	 -538858	 -538858	 
1.10562	 933507	 934013	 934013	 -65.1519	 -65.1519	 -65.1519	 -534853	 -534877	 -534877	 
1.11277	 940272	 940777	 940777	 -65.152	 -65.152	 -65.152	 -538721	 -538744	 -538744	 
1.11277	 933174	 933679	 933679	 -65.1539	 -65.1539	 -65.1539	 -534660	 -534684	 -534684	 
1.11993	 940107	 940612	 940612	 -65.1539	 -65.1539	 -65.1539	 -538625	 -538648	 -538648	 
1.11993	 932966	 933471	 933471	 -65.1559	 -65.1559	 -65.1559	 -534540	 -534564	 -534564	 
1.12714	 939915	 940420	 940420	 -65.1559	 -65.1559	 -65.1559	 -538514	 -538538	 -538538	 
1.12714	 932681	 933187	 933187	 -65.1579	 -65.1579	 -65.1579	 -534376	 -534400	 -534400	 
1.13436	 939735	 940240	 940240	 -65.1579	 -65.1579	 -65.1579	 -538410	 -538433	 -538433	 
1.13436	 932457	 932963	 932963	 -65.1599	 -65.1599	 -65.1599	 -534247	 -534271	 -534271	 
1.14163	 939533	 940038	 940038	 -65.1599	 -65.1599	 -65.1599	 -538293	 -538317	 -538317	 
1.14163	 932159	 932664	 932664	 -65.1619	 -65.1619	 -65.1619	 -534075	 -534099	 -534099	 
1.14884	 939358	 939863	 939863	 -65.1619	 -65.1619	 -65.1619	 -538192	 -538216	 -538216	 
1.14884	 931992	 932498	 932498	 -65.1639	 -65.1639	 -65.1639	 -533979	 -534003	 -534003	 
1.15606	 939148	 939653	 939653	 -65.1639	 -65.1639	 -65.1639	 -538071	 -538095	 -538095	 
1.15606	 931738	 932244	 932244	 -65.166	 -65.166	 -65.166	 -533833	 -533857	 -533857	 
1.16327	 938935	 939440	 939440	 -65.166	 -65.166	 -65.166	 -537950	 -537973	 -537973	 
1.16327	 931482	 931988	 931988	 -65.168	 -65.168	 -65.168	 -533686	 -533710	 -533710	 
1.17048	 938723	 939228	 939228	 -65.168	 -65.168	 -65.168	 -537828	 -537851	 -537851	 
1.17048	 931226	 931732	 931732	 -65.1701	 -65.1701	 -65.1701	 -533540	 -533563	 -533563	 
1.1777	 938513	 939018	 939018	 -65.1701	 -65.1701	 -65.1701	 -537707	 -537730	 -537730	 
1.1777	 930972	 931478	 931478	 -65.1722	 -65.1722	 -65.1722	 -533394	 -533418	 -533418	 
1.18491	 938304	 938809	 938809	 -65.1722	 -65.1722	 -65.1722	 -537588	 -537611	 -537611	 
1.18491	 930720	 931225	 931225	 -65.1743	 -65.1743	 -65.1743	 -533250	 -533273	 -533273	 
1.19212	 938099	 938603	 938603	 -65.1743	 -65.1743	 -65.1743	 -537470	 -537493	 -537493	 
1.19212	 930471	 930976	 930976	 -65.1764	 -65.1764	 -65.1764	 -533107	 -533130	 -533130	 
1.1994	 937884	 938389	 938389	 -65.1764	 -65.1764	 -65.1764	 -537347	 -537371	 -537371	 
1.1994	 930154	 930660	 930660	 -65.1785	 -65.1785	 -65.1785	 -532926	 -532949	 -532949	 
1.20675	 937690	 938195	 938195	 -65.1785	 -65.1785	 -65.1785	 -537237	 -537260	 -537260	 
1.20675	 929856	 930361	 930361	 -65.1807	 -65.1807	 -65.1807	 -532755	 -532779	 -532779	 
1.21416	 937513	 938018	 938018	 -65.1807	 -65.1807	 -65.1807	 -537135	 -537159	 -537159	 
1.21416	 929572	 930077	 930077	 -65.1829	 -65.1829	 -65.1829	 -532593	 -532617	 -532617	 
1.22164	 937349	 937854	 937854	 -65.1829	 -65.1829	 -65.1829	 -537042	 -537065	 -537065	 
1.22164	 929299	 929804	 929804	 -65.1852	 -65.1852	 -65.1852	 -532437	 -532460	 -532460	 
1.22913	 937208	 937713	 937713	 -65.1852	 -65.1852	 -65.1852	 -536962	 -536985	 -536985	 
1.22913	 929111	 929616	 929616	 -65.1874	 -65.1874	 -65.1874	 -532330	 -532353	 -532353	 
1.23661	 937055	 937559	 937559	 -65.1874	 -65.1874	 -65.1874	 -536874	 -536897	 -536897	 
1.23661	 928911	 929416	 929416	 -65.1897	 -65.1897	 -65.1897	 -532216	 -532239	 -532239	 
1.24417	 936878	 937382	 937382	 -65.1897	 -65.1897	 -65.1897	 -536774	 -536797	 -536797	 
1.24417	 928620	 929125	 929125	 -65.192	 -65.192	 -65.192	 -532050	 -532073	 -532073	 
1.2518	 936717	 937221	 937221	 -65.192	 -65.192	 -65.192	 -536682	 -536705	 -536705	 
1.2518	 928342	 928846	 928846	 -65.1943	 -65.1943	 -65.1943	 -531891	 -531914	 -531914	 
1.25952	 936568	 937073	 937073	 -65.1944	 -65.1944	 -65.1944	 -536598	 -536621	 -536621	 
1.25952	 928073	 928578	 928578	 -65.1967	 -65.1967	 -65.1967	 -531738	 -531761	 -531761	 
1.26731	 936431	 936935	 936935	 -65.1968	 -65.1968	 -65.1968	 -536520	 -536543	 -536543	 
1.26731	 927812	 928317	 928317	 -65.1992	 -65.1992	 -65.1992	 -531590	 -531613	 -531613	 
1.27519	 936303	 936807	 936807	 -65.1992	 -65.1992	 -65.1992	 -536448	 -536471	 -536471	 
1.27519	 927557	 928061	 928061	 -65.2016	 -65.2016	 -65.2016	 -531445	 -531468	 -531468	 
1.28316	 936183	 936687	 936687	 -65.2017	 -65.2017	 -65.2017	 -536380	 -536403	 -536403	 
1.28316	 927306	 927810	 927810	 -65.2042	 -65.2042	 -65.2042	 -531302	 -531325	 -531325	 
1.29121	 935877	 936381	 936381	 -65.2042	 -65.2042	 -65.2042	 -536207	 -536230	 -536230	 
1.29121	 927061	 927566	 927566	 -65.2067	 -65.2067	 -65.2067	 -531163	 -531186	 -531186	 
1.29926	 935785	 936289	 936289	 -65.2067	 -65.2067	 -65.2067	 -536156	 -536179	 -536179	 
1.29926	 926918	 927422	 927422	 -65.2093	 -65.2093	 -65.2093	 -531083	 -531106	 -531106	 
1.30741	 935651	 936155	 936155	 -65.2093	 -65.2093	 -65.2093	 -536081	 -536104	 -536104	 
1.30741	 926647	 927151	 927151	 -65.2119	 -65.2119	 -65.2119	 -530929	 -530952	 -530952	 
1.31566	 935531	 936035	 936035	 -65.2119	 -65.2119	 -65.2119	 -536014	 -536036	 -536036	 
1.31566	 926386	 926890	 926890	 -65.2146	 -65.2146	 -65.2146	 -530781	 -530804	 -530804	 
1.324	 935425	 935928	 935928	 -65.2146	 -65.2146	 -65.2146	 -535955	 -535977	 -535977	 
1.324	 926134	 926638	 926638	 -65.2173	 -65.2173	 -65.2173	 -530638	 -530661	 -530661	 
1.33245	 935330	 935833	 935833	 -65.2173	 -65.2173	 -65.2173	 -535902	 -535925	 -535925	 
1.33245	 925889	 926393	 926393	 -65.2201	 -65.2201	 -65.2201	 -530500	 -530523	 -530523	 
1.34101	 935246	 935749	 935749	 -65.2201	 -65.2201	 -65.2201	 -535856	 -535878	 -535878	 
1.34101	 925650	 926154	 926154	 -65.2229	 -65.2229	 -65.2229	 -530365	 -530388	 -530388	 
1.34968	 935172	 935675	 935675	 -65.2229	 -65.2229	 -65.2229	 -535816	 -535838	 -535838	 
1.34968	 925416	 925920	 925920	 -65.2258	 -65.2258	 -65.2258	 -530233	 -530256	 -530256	 
1.35859	 935082	 935585	 935585	 -65.2258	 -65.2258	 -65.2258	 -535766	 -535789	 -535789	 
1.35859	 925051	 925555	 925555	 -65.2288	 -65.2288	 -65.2288	 -530026	 -530049	 -530049	 
1.36762	 934859	 935362	 935362	 -65.2288	 -65.2288	 -65.2288	 -535642	 -535664	 -535664	 
1.36762	 924877	 925381	 925381	 -65.2318	 -65.2318	 -65.2318	 -529929	 -529951	 -529951	 
1.37679	 934842	 935345	 935345	 -65.2319	 -65.2319	 -65.2319	 -535635	 -535657	 -535657	 
